Book Code,Title,Category,Price,Pages
PS1000,Animal Farm,Roman A clef,8390.53,3963
PC1001,A Clockwork Orange,Science Fiction,4053.65,11223
MC1002,The Plague,Existentialism,2741.57,5958
TC1003,A Fire Upon the Deep,Hard science fiction,913.34,344
BU1004,All Quiet on the Western Front,War novel,4559.23,1224
PS1005,A Wizard of Earthsea,Children's literature,8858.31,7628
MC1006,Blade Runner 3: Replicant Night,Science Fiction,2556.93,1503
PC1007,Blade Runner 2: The Edge of Human,Science Fiction,2859.45,7573
TC1008,Book of Job,Religious text,2142.02,6559
MC1009,Crash,Speculative fiction,710.84,3856
TC1010,Children of Dune,Science Fiction,9899.15,3001
PC1011,"Candide, ou l'Optimisme",Satire,4614.41,11385
BU1012,Chapterhouse Dune,Science Fiction,4441.34,3161
PC1013,Carmilla,Gothic fiction,1822.53,11606
MC1014,The Cider House Rules,Fiction,8572.75,11656
MC1015,Dracula,Science Fiction,9875.40,8760
BU1016,Don Quixote,Parody,4118.11,5841
BU1017,Dune Messiah,Science Fiction,7275.79,6870
BU1018,Darwin's Dangerous Idea,Philosophy,3949.45,11082
BU1019,Death of a Hero,Fiction,6633.40,9273
BU1020,Exodus,Religious text,1841.31,3126
BU1021,The Trial,Fiction,1273.71,2922
BU1022,The Metamorphosis,Children's literature,2849.01,2193
PS1023,Fahrenheit 451,Science Fiction,4550.71,9861
PC1024,Farmer Giles of Ham,Fantasy,8489.14,5243
MC1025,Gaudy Night,Mystery,6052.91,11863
BU1026,God Emperor of Dune,Science Fiction,4882.87,5803
PS1027,Genesis,Religious text,7460.68,11031
PS1028,Gone with the Wind,Historical fiction,2360.51,5645
PS1029,Heart of Darkness,Fiction,2472.88,327
BU1030,Heretics of Dune,Science Fiction,2362.55,8371
BU1031,Adventures of Huckleberry Finn,Satire,7009.10,4114
PS1032,Ivanhoe,Historical fiction,8192.83,11185
PS1033,Johnny Got His Gun,Fiction,5600.98,5144
MC1034,Icehenge,Science Fiction,3646.95,8334
BU1035,Microserfs,Epistolary novel,9974.41,2153
PS1036,"Moby-Dick; or, The Whale",Sea story,784.38,1830
BU1037,Moonfleet,Adventure novel,7495.79,2632
PS1038,Neuromancer,Cyberpunk,1508.64,5537
TC1039,Cryptonomicon,Fiction,9770.88,2208
PC1040,No Logo,Business,9340.79,208
BU1041,The Three Stigmata of Palmer Eldritch,Science Fiction,1011.46,5268
PS1042,Time out of Joint,Science Fiction,7054.74,7258
BU1043,A Scanner Darkly,Science Fiction,8688.35,9857
TC1044,Radio Free Albemuth,Science Fiction,7324.00,7920
PS1045,Pride and Prejudice,Satire,4584.48,9157
BU1046,Pale Fire,Fiction,4354.55,6784
PC1047,Rosencrantz & Guildenstern Are Dead,Absurdist fiction,3211.51,11327
PS1048,Ringworld,Science Fiction,883.77,11754
TC1049,Rendezvous with Rama,Hard science fiction,5534.50,3919
BU1050,Sense and Sensibility,Children's literature,8361.17,3335
TC1051,Speaker for the Dead,Science Fiction,3406.55,4915
TC1052,Starship Troopers,Science Fiction,3758.36,4052
BU1053,Sir Gawain and the Green Knight,Poetry,4762.41,6031
TC1054,Stuart Little,Speculative fiction,7777.63,870
BU1055,The Lord of the Rings,Adventure novel,6729.70,3430
TC1056,The Doors of Perception,Philosophy,9014.79,9668
TC1057,The Time Machine,Science Fiction,2551.72,3763
PC1058,The Shockwave Rider,Science Fiction,4878.25,6498
PC1059,The Shining,Gothic fiction,8762.39,5440
