Company1,Company2,weight
Oil & Gas Development Company Limited,"Secretary, Federal Ministry of Petroleum and Natural Resources",1
Oil & Gas Development Company Limited,Chief Secretary of Balochistan,1
Oil & Gas Development Company Limited,Irfan Group of Companies,1
Oil & Gas Development Company Limited,Famous Brands Pvt Ltd,1
Oil & Gas Development Company Limited,Irfan Food Pvt Ltd,1
Oil & Gas Development Company Limited,Asia Irfan Foundation Trust,1
Oil & Gas Development Company Limited,Pakistan School of Fashion Design,1
Oil & Gas Development Company Limited,South Asian Association for Regional Cooperation,1
Oil & Gas Development Company Limited,Premier Group of Companies,1
Oil & Gas Development Company Limited,Premier Sugar Mills & Distillery Company Limited,1
Oil & Gas Development Company Limited,Frontier Sugar Mills & Distillery Limited,1
Oil & Gas Development Company Limited,Chashma Sugar Mills Limited,1
Oil & Gas Development Company Limited,Arpak International Investments Limited,1
Oil & Gas Development Company Limited,Pakistan Telecommunication ,1
Oil & Gas Development Company Limited,U MicroFinance Bank,1
Oil & Gas Development Company Limited,Matiari Sugar Mill Ltd,1
Oil & Gas Development Company Limited,Matol Pvt Ltd,1
Oil & Gas Development Company Limited,Economic Advisary Council Pakistan.,1
Oil & Gas Development Company Limited,National Commision on Government Reforms.,1
Oil & Gas Development Company Limited,Burj Capital Pvt Ltd,1
Oil & Gas Development Company Limited,State Bank of Pakistan,1
Oil & Gas Development Company Limited,Yunus Brothers Group,1
Oil & Gas Development Company Limited,Agha Techny Construction,1
Oil & Gas Development Company Limited,Dynamic Trader Pvt Ltd,1
Oil & Gas Development Company Limited,Quetta Chamber of Commerce,1
Oil & Gas Development Company Limited,Gwadar Chamber of Commerce,1
Oil & Gas Development Company Limited,Pak Arab Refinery Limited,1
Oil & Gas Development Company Limited,Pakistan Petroleum Limited,1
Oil & Gas Development Company Limited,National Bank Of Pakistan,1
Oil & Gas Development Company Limited,Mari Petroleum Company Limited,2
Oil & Gas Development Company Limited,Lucky Cement Company Ltd,1
Oil & Gas Development Company Limited,I.C.I. Pakistan Limited,1
Oil & Gas Development Company Limited,Sui Northern Gas Pipeline  Limited,1
Oil & Gas Development Company Limited,Pakistan Petroleum Limited,1
Pakistan Petroleum Limited,Society of Petroleum Engineers,1
Pakistan Petroleum Limited,Lahore University of Management & Sciences.,1
Pakistan Petroleum Limited,Baigmohamed Group of Companies,1
Pakistan Petroleum Limited,ABM Investments,1
Pakistan Petroleum Limited,Pak Arab Refinery Limited,1
Pakistan Petroleum Limited,Sui Northern Gas Pipeline  Limited,1
Pakistan Petroleum Limited,"Secretary, Federal Ministry of Petroleum and Natural Resources",2
Pakistan Oilfields Limited,The Attock Oil Company Limited,3
Pakistan Oilfields Limited,Attock Cement Company Ltd,3
Pakistan Oilfields Limited,Attock Petroleum Limited,4
Pakistan Oilfields Limited,National Refinery Limited,5
Pakistan Oilfields Limited,Attock Gen Limited,4
Pakistan Oilfields Limited,Attock Refinery Limited,4
Pakistan Oilfields Limited,Laith Trading & Contracting Co. Ltd.,1
Pakistan Oilfields Limited,Pharaon Investment Group Ltd. Holding,2
Pakistan Oilfields Limited,Attock Group of Cos.,1
Pakistan Oilfields Limited,Attock Hospital Pvt Ltd.,1
Pakistan Oilfields Limited,Attock Leisure & Management Associates Pvt Ltd.,1
Pakistan Oilfields Limited,Rawal Lodges Development Pvt Ltd.,1
Pakistan Oilfields Limited,Angoori Heights Development Pvt Ltd.,1
Pakistan Oilfields Limited,Falcon Pakistan Pvt Ltd.,1
Pakistan Oilfields Limited,Lucky Cement Company Ltd,1
Pakistan Oilfields Limited,Packages Limited,1
Pakistan Oilfields Limited,Ferozsons Laboratories Limited,1
Pakistan Oilfields Limited,International Steels Limited,1
Pakistan Oilfields Limited,Silkbank Limited,1
Pakistan Oilfields Limited,FFC Energy Limited,1
Pakistan Oilfields Limited,Khyber Pakhtunkhwa Oil & Gas ltd,1
Pakistan Oilfields Limited,CAS Management Pvt ltd,1
Pakistan Oilfields Limited,House Building  Finance Corp,1
Pakistan Oilfields Limited,Institute of Chartered Accountant of Pakistan,1
Pakistan Oilfields Limited,Asian Stocks Fund limited,1
Pakistan Oilfields Limited,Safeway Fund limited,1
Standard Chartered Bank,Pakistan Mercantile Exchange,1
Standard Chartered Bank,Karachi Stock Exchange,2
Standard Chartered Bank,Sui Southern Gas Company Limited,1
Standard Chartered Bank,Development In Literacy,1
Standard Chartered Bank,AIESEC,1
Standard Chartered Bank,Securities & Exchange Commission of Pakistan,1
Standard Chartered Bank,Standard Chartered Bank Hong Kong,1
